STATE,COUNTY,POPESTIMATE2017
1,1,55504
1,3,212628
1,5,25270
1,7,22668
1,9,58013
1,11,10309
1,13,19825
1,15,114728
1,17,33713
1,19,25857
1,21,44067
1,23,12945
1,25,24083
1,27,13367
1,29,14900
1,31,51874
1,33,54500
1,35,12469
1,37,10754
1,39,37092
1,41,13871
1,43,82755
1,45,49226
1,47,39215
1,49,71617
1,51,81677
1,53,37447
1,55,102755
1,57,16468
1,59,31495
1,61,26421
1,63,8330
1,65,14812
1,67,17147
1,69,104346
1,71,51909
1,73,659197
1,75,13946
1,77,92538
1,79,33049
1,81,161604
1,83,94402
1,85,10076
1,87,18755
1,89,361046
1,91,19375
1,93,29833
1,95,95548
1,97,413955
1,99,21327
1,101,226646
1,103,118818
1,105,9339
1,107,20176
1,109,33267
1,111,22670
1,113,57045
1,115,88199
1,117,213605
1,119,12687
1,121,80065
1,123,40681
1,125,207811
1,127,64058
1,129,16531
1,131,10719
1,133,23722
2,13,3370
2,16,5763
2,20,294356
2,50,18076
2,60,867
2,68,2074
2,70,4932
2,90,99703
2,100,2526
2,105,2145
2,110,32094
2,122,58617
2,130,13856
2,150,13448
2,158,8202
2,164,1620
2,170,106532
2,180,9921
2,185,9782
2,188,7684
2,195,3281
2,198,6443
2,220,8689
2,230,1157
2,240,6888
2,261,9278
2,275,2521
2,282,605
2,290,5365
4,1,71606
4,3,124756
4,5,140776
4,7,53501
4,9,37466
4,11,9455
4,12,20601
4,13,4307033
4,15,207200
4,17,108956
4,19,1022769
4,21,430237
4,23,46212
4,25,228168
4,27,207534
5,1,17967
5,3,20283
5,5,41355
5,7,266300
5,9,37381
5,11,10864
5,13,5247
5,15,27944
5,17,10636
5,19,22293
5,21,14920
5,23,25048
5,25,8202
5,27,23627
5,29,20916
5,31,107115
5,33,62996
5,35,48750
5,37,16863
5,39,7393
5,41,11764
5,43,18547
5,45,123654
5,47,17890
5,49,12055
5,51,98658
5,53,18165
5,55,45053
5,57,21861
5,59,33574
5,61,13478
5,63,37504
5,65,13686
5,67,17135
5,69,69115
5,71,26552
5,73,6862
5,75,16525
5,77,9176
5,79,13646
5,81,12359
5,83,21722
5,85,72898
5,87,16339
5,89,16428
5,91,43984
5,93,42159
5,95,7085
5,97,8919
5,99,8327
5,101,7828
5,103,23868
5,105,10348
5,107,18572
5,109,10726
5,111,24154
5,113,20118
5,115,63835
5,117,8248
5,119,393956
5,121,17557
5,123,25930
5,125,119323
5,127,10445
5,129,7938
5,131,128107
5,133,17115
5,135,17393
5,137,12537
5,139,39449
5,141,16506
5,143,231996
5,145,79016
5,147,6571
5,149,21523
6,1,1663190
6,3,1120
6,5,38626
6,7,229294
6,9,45670
6,11,21805
6,13,1147439
6,15,27470
6,17,188987
6,19,989255
6,21,28094
6,23,136754
6,25,182830
6,27,18026
6,29,893119
6,31,150101
6,33,64246
6,35,31163
6,37,10163507
6,39,156890
6,41,260955
6,43,17569
6,45,88018
6,47,272673
6,49,8859
6,51,14168
6,53,437907
6,55,140973
6,57,99814
6,59,3190400
6,61,386166
6,63,18742
6,65,2423266
6,67,1530615
6,69,60310
6,71,2157404
6,73,3337685
6,75,884363
6,77,745424
6,79,283405
6,81,771410
6,83,448150
6,85,1938153
6,87,275897
6,89,179921
6,91,2999
6,93,43853
6,95,445458
6,97,504217
6,99,547899
6,101,96648
6,103,63926
6,105,12709
6,107,464493
6,109,54248
6,111,854223
6,113,219116
6,115,77031
8,1,503167
8,3,16551
8,5,643052
8,7,13315
8,9,3562
8,11,5938
8,13,322514
8,14,68341
8,15,19638
8,17,1845
8,19,9574
8,21,8184
8,23,3776
8,25,5810
8,27,4874
8,29,30568
8,31,704621
8,33,2067
8,35,335299
8,37,54772
8,39,25642
8,41,699232
8,43,47559
8,45,59118
8,47,6013
8,49,15321
8,51,16939
8,53,794
8,55,6662
8,57,1385
8,59,574613
8,61,1376
8,63,7158
8,65,7778
8,67,55589
8,69,343976
8,71,14238
8,73,5546
8,75,21896
8,77,151616
8,79,766
8,81,13131
8,83,26140
8,85,41784
8,87,28192
8,89,18326
8,91,4794
8,93,17905
8,95,4292
8,97,17890
8,99,12070
8,101,166475
8,103,6420
8,105,11301
8,107,25220
8,109,6626
8,111,715
8,113,7967
8,115,2344
8,117,30585
8,119,24646
8,121,4938
8,123,304633
8,125,10075
9,1,949921
9,3,895388
9,5,182177
9,7,163410
9,9,860435
9,11,269033
9,13,151461
9,15,116359
10,1,176824
10,3,559793
10,5,225322
11,1,693972
12,1,266944
12,3,28283
12,5,183563
12,7,27038
12,9,589162
12,11,1935878
12,13,14483
12,15,182033
12,17,145647
12,19,212230
12,21,372880
12,23,69612
12,27,36862
12,29,16673
12,31,937934
12,33,313512
12,35,110510
12,37,11727
12,39,46071
12,41,17743
12,43,13754
12,45,16160
12,47,14184
12,49,27411
